,Symbol,Name,Sector,Industry
266,JPM,JPMorgan Chase,Financials,Diversified Banks
267,JNPR,Juniper Networks,Information Technology,Communications Equipment
268,K,Kellogg's,Consumer Staples,Packaged Foods & Meats
269,KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks
270,KEY,KeyCorp,Financials,Regional Banks
271,KEYS,Keysight,Information Technology,Electronic Equipment & Instruments
272,KMB,Kimberly-Clark,Consumer Staples,Household Products
273,KIM,Kimco Realty,Real Estate,Retail REITs
274,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
275,KLAC,KLA Corporation,Information Technology,Semiconductor Equipment
276,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
277,KR,Kroger,Consumer Staples,Food Retail
278,LHX,L3Harris,Industrials,Aerospace & Defense
279,LH,LabCorp,Health Care,Health Care Services
280,LRCX,Lam Research,Information Technology,Semiconductor Equipment
281,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats
282,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
283,LDOS,Leidos,Industrials,Diversified Support Services
284,LEN,Lennar,Consumer Discretionary,Homebuilding
285,LNC,Lincoln Financial,Financials,Multi-line Insurance
286,LIN,Linde plc,Materials,Industrial Gases
287,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment
288,LKQ,LKQ Corporation,Consumer Discretionary,Distributors
289,LMT,Lockheed Martin,Industrials,Aerospace & Defense
290,L,Loews Corporation,Financials,Multi-line Insurance
291,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail
292,LUMN,Lumen Technologies,Communication Services,Alternative Carriers
293,LYB,LyondellBasell,Materials,Specialty Chemicals
294,MTB,M&T Bank,Financials,Regional Banks
295,MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production
296,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
297,MKTX,MarketAxess,Financials,Financial Exchanges & Data
298,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
299,MMC,Marsh McLennan,Financials,Insurance Brokers
300,MLM,Martin Marietta Materials,Materials,Construction Materials
301,MAS,Masco,Industrials,Building Products
302,MA,Mastercard,Information Technology,Data Processing & Outsourced Services
303,MTCH,Match Group,Communication Services,Interactive Media & Services
304,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats
305,MCD,McDonald's,Consumer Discretionary,Restaurants
306,MCK,McKesson,Health Care,Health Care Distributors
307,MDT,Medtronic,Health Care,Health Care Equipment
308,MRK,Merck & Co.,Health Care,Pharmaceuticals
309,META,Meta Platforms,Communication Services,Interactive Media & Services
310,MET,MetLife,Financials,Life & Health Insurance
311,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services
312,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming
313,MCHP,Microchip Technology,Information Technology,Semiconductors
314,MU,Micron Technology,Information Technology,Semiconductors
315,MSFT,Microsoft,Information Technology,Systems Software
316,MAA,Mid-America Apartment Communities,Real Estate,Residential REITs
317,MRNA,Moderna,Health Care,Biotechnology
318,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings
319,MOH,Molina Healthcare,Health Care,Managed Health Care
320,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers
321,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats
322,MPWR,Monolithic Power Systems,Information Technology,Semiconductors
323,MNST,Monster Beverage,Consumer Staples,Soft Drinks
324,MCO,Moody's Corporation,Financials,Financial Exchanges & Data
325,MS,Morgan Stanley,Financials,Investment Banking & Brokerage
326,MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals
327,MSI,Motorola Solutions,Information Technology,Communications Equipment
328,MSCI,MSCI,Financials,Financial Exchanges & Data
329,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data
330,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals"
331,NFLX,Netflix,Communication Services,Movies & Entertainment
332,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties
333,NEM,Newmont,Materials,Gold
334,NWSA,News Corp (Class A),Communication Services,Publishing
335,NWS,News Corp (Class B),Communication Services,Publishing
336,NEE,NextEra Energy,Utilities,Multi-Utilities
337,NLSN,Nielsen Holdings,Industrials,Research & Consulting Services
338,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
339,NI,NiSource,Utilities,Multi-Utilities
340,NDSN,Nordson Corporation,Industrials,Industrial Machinery
341,NSC,Norfolk Southern Railway,Industrials,Railroads
342,NTRS,Northern Trust,Financials,Asset Management & Custody Banks
343,NOC,Northrop Grumman,Industrials,Aerospace & Defense
344,NLOK,NortonLifeLock,Information Technology,Application Software
345,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
346,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders
347,NUE,Nucor,Materials,Steel
348,NVDA,Nvidia,Information Technology,Semiconductors
349,NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding
350,NXPI,NXP Semiconductors,Information Technology,Semiconductors
351,ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores
352,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
353,ODFL,Old Dominion,Industrials,Trucking
354,OMC,Omnicom Group,Communication Services,Advertising
355,ON,ON Semiconductor,Information Technology,Semiconductors
356,OKE,Oneok,Energy,Oil & Gas Storage & Transportation
357,ORCL,Oracle Corporation,Information Technology,Application Software
358,OGN,Organon & Co.,Health Care,Pharmaceuticals
359,OTIS,Otis Worldwide,Industrials,Industrial Machinery
360,PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks
361,PKG,Packaging Corporation of America,Materials,Paper Packaging
362,PARA,Paramount Global,Communication Services,Movies & Entertainment
363,PH,Parker Hannifin,Industrials,Industrial Machinery
364,PAYX,Paychex,Information Technology,Data Processing & Outsourced Services
365,PAYC,Paycom,Information Technology,Application Software
366,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services
367,PNR,Pentair,Industrials,Industrial Machinery
368,PEP,PepsiCo,Consumer Staples,Soft Drinks
369,PKI,PerkinElmer,Health Care,Health Care Equipment
370,PFE,Pfizer,Health Care,Pharmaceuticals
371,PCG,PG&E,Utilities,Multi-Utilities
372,PM,Philip Morris International,Consumer Staples,Tobacco
373,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
374,PNW,Pinnacle West,Utilities,Multi-Utilities
375,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production
376,PNC,PNC Financial Services,Financials,Regional Banks
377,POOL,Pool Corporation,Consumer Discretionary,Distributors
378,PPG,PPG Industries,Materials,Specialty Chemicals
379,PPL,PPL Corporation,Utilities,Electric Utilities
380,PFG,Principal Financial Group,Financials,Life & Health Insurance
381,PG,Procter & Gamble,Consumer Staples,Personal Products
382,PGR,Progressive Corporation,Financials,Property & Casualty Insurance
383,PLD,Prologis,Real Estate,Industrial REITs
384,PRU,Prudential Financial,Financials,Life & Health Insurance
385,PEG,Public Service Enterprise Group,Utilities,Electric Utilities
386,PTC,PTC,Information Technology,Application Software
387,PSA,Public Storage,Real Estate,Specialized REITs
388,PHM,PulteGroup,Consumer Discretionary,Homebuilding
389,QRVO,Qorvo,Information Technology,Semiconductors
390,PWR,Quanta Services,Industrials,Construction & Engineering
391,QCOM,Qualcomm,Information Technology,Semiconductors
392,DGX,Quest Diagnostics,Health Care,Health Care Services
393,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
394,RJF,Raymond James,Financials,Investment Banking & Brokerage
395,RTX,Raytheon Technologies,Industrials,Aerospace & Defense
396,O,Realty Income,Real Estate,Retail REITs
397,REG,Regency Centers,Real Estate,Retail REITs
398,REGN,Regeneron,Health Care,Biotechnology
399,RF,Regions Financial Corporation,Financials,Regional Banks
400,RSG,Republic Services,Industrials,Environmental & Facilities Services
401,RMD,ResMed,Health Care,Health Care Equipment
402,RHI,Robert Half,Industrials,Human Resource & Employment Services
403,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment
404,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services
405,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments
406,ROST,Ross Stores,Consumer Discretionary,Apparel Retail
407,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
408,SPGI,S&P Global,Financials,Financial Exchanges & Data
409,CRM,Salesforce,Information Technology,Application Software
410,SBAC,SBA Communications,Real Estate,Specialized REITs
411,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services
412,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals"
413,SEE,Sealed Air,Materials,Paper Packaging
414,SRE,Sempra Energy,Utilities,Multi-Utilities
415,NOW,ServiceNow,Information Technology,Systems Software
416,SHW,Sherwin-Williams,Materials,Specialty Chemicals
417,SBNY,Signature Bank,Financials,Regional Banks
418,SPG,Simon Property Group,Real Estate,Retail REITs
419,SWKS,Skyworks Solutions,Information Technology,Semiconductors
420,SJM,The J.M. Smucker Company,Consumer Staples,Packaged Foods & Meats
421,SNA,Snap-on,Industrials,Industrial Machinery
422,SEDG,SolarEdge,Information Technology,Semiconductor Equipment
423,SO,Southern Company,Utilities,Electric Utilities
424,LUV,Southwest Airlines,Industrials,Airlines
425,SWK,Stanley Black & Decker,Industrials,Industrial Machinery
426,SBUX,Starbucks,Consumer Discretionary,Restaurants
427,STT,State Street Corporation,Financials,Asset Management & Custody Banks
428,STE,Steris,Health Care,Health Care Equipment
429,SYK,Stryker Corporation,Health Care,Health Care Equipment
430,SIVB,SVB Financial,Financials,Regional Banks
431,SYF,Synchrony Financial,Financials,Consumer Finance
432,SNPS,Synopsys,Information Technology,Application Software
433,SYY,Sysco,Consumer Staples,Food Distributors
434,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services
435,TROW,T. Rowe Price,Financials,Asset Management & Custody Banks
436,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
437,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
438,TGT,Target Corporation,Consumer Discretionary,General Merchandise Stores
439,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services
440,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments
441,TFX,Teleflex,Health Care,Health Care Equipment
442,TER,Teradyne,Information Technology,Semiconductor Equipment
443,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers
444,TXN,Texas Instruments,Information Technology,Semiconductors
445,TXT,Textron,Industrials,Aerospace & Defense
446,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services
447,TJX,TJX Companies,Consumer Discretionary,Apparel Retail
448,TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores
449,TT,Trane Technologies,Industrials,Building Products
450,TDG,TransDigm Group,Industrials,Aerospace & Defense
451,TRV,The Travelers Companies,Financials,Property & Casualty Insurance
452,TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments
453,TFC,Truist,Financials,Regional Banks
454,TWTR,Twitter Inc.,Communication Services,Interactive Media & Services
455,TYL,Tyler Technologies,Information Technology,Application Software
456,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
457,USB,U.S. Bank,Financials,Diversified Banks
458,UDR,"UDR, Inc.",Real Estate,Residential REITs
459,ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores
460,UNP,Union Pacific Corporation,Industrials,Railroads
461,UAL,United Airlines Holdings,Industrials,Airlines
462,UPS,United Parcel Service,Industrials,Air Freight & Logistics
463,URI,United Rentals,Industrials,Trading Companies & Distributors
464,UNH,UnitedHealth Group,Health Care,Managed Health Care
465,UHS,Universal Health Services,Health Care,Health Care Facilities
466,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
467,VTR,Ventas,Real Estate,Health Care REITs
468,VRSN,Verisign,Information Technology,Internet Services & Infrastructure
469,VRSK,Verisk,Industrials,Research & Consulting Services
470,VZ,Verizon,Communication Services,Integrated Telecommunication Services
471,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology
472,VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
473,VTRS,Viatris,Health Care,Pharmaceuticals
474,VICI,Vici Properties,Real Estate,Hotel & Resort REITs
475,V,Visa Inc.,Information Technology,Data Processing & Outsourced Services
